==30558== NVPROF is profiling process 30558, command: /usr/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=6, pipe_handle=8) --multiprocessing-fork
==30558== Profiling application: /usr/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=6, pipe_handle=8) --multiprocessing-fork
==30558== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ms,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,,
1866.605050,0.007648,,,,,,,,,,2.000000,255.377223,"Device",,"Tesla V100-DGXS-32GB (0)","1","82","[CUDA memset]",3985
1870.354803,0.001440,,,,,,,,,,0.003296,2.235174,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4180
1870.367507,0.001024,,,,,,,,,,0.000015,0.014552,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4184
1871.529767,0.012928,,,,,,,,,,10.000000,755.385597,"Device",,"Tesla V100-DGXS-32GB (0)","1","83","[CUDA memset]",4197
1915.397442,0.004448,,,,,,,,,,2.000000,439.101844,"Device",,"Tesla V100-DGXS-32GB (0)","1","84","[CUDA memset]",4211
1959.572505,0.001312,,,,,,,,,,0.000092,0.068146,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4217
1960.773069,0.001056,,,,,,,,,,0.000092,0.084666,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4219
1961.733859,0.013728,,,,,,,,,,10.000000,711.365457,"Device",,"Tesla V100-DGXS-32GB (0)","1","85","[CUDA memset]",4231
2050.886026,0.001056,,,,,,,,,,0.000092,0.084666,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4237
2056.963595,0.012000,,,,,,,,,,8.000000,651.041667,"Device",,"Tesla V100-DGXS-32GB (0)","1","86","[CUDA memset]",4248
2098.441759,0.002431,,,,,,,,,,0.006393,2.568320,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4254
2112.016722,0.001920,,,,,,,,,,0.000015,0.007761,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","80","[CUDA memcpy HtoD]",4263
2112.025266,0.001824,,,,,,,,,,0.006393,3.423019,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","80","[CUDA memcpy HtoD]",4266
2197.686429,0.147710,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4292
2197.993210,0.134047,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4342
2198.186136,0.131967,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4392
2198.382518,0.133279,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4442
2198.561684,0.132799,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4492
2198.731602,0.131871,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4542
2198.899025,0.132318,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4592
2199.066255,0.132703,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4642
2199.231405,0.137311,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4692
2199.396139,0.147999,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4742
2199.562026,0.155646,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4792
2199.728712,0.160670,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4842
2199.895782,0.167551,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4892
2200.064229,0.169662,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4942
2200.234947,0.172190,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4992
