==26706== NVPROF is profiling process 26706, command: /usr/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=6, pipe_handle=8) --multiprocessing-fork
==26706== Profiling application: /usr/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=6, pipe_handle=8) --multiprocessing-fork
==26706== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ms,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,,
1977.702806,0.007296,,,,,,,,,,2.000000,267.698054,"Device",,"Tesla V100-DGXS-32GB (0)","1","82","[CUDA memset]",3985
1981.646402,0.001376,,,,,,,,,,0.003296,2.339136,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4180
1981.658498,0.000896,,,,,,,,,,0.000015,0.016631,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4184
1981.669666,0.001184,,,,,,,,,,0.003296,2.718455,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4188
1981.678530,0.000896,,,,,,,,,,0.000015,0.016631,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4192
1981.688258,0.001248,,,,,,,,,,0.003296,2.579047,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4196
1981.696418,0.000863,,,,,,,,,,0.000015,0.017267,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4200
1981.705954,0.001215,,,,,,,,,,0.003296,2.649095,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4204
1981.714689,0.000896,,,,,,,,,,0.000015,0.016631,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4208
1981.724097,0.001216,,,,,,,,,,0.003296,2.646917,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4212
1981.733249,0.000896,,,,,,,,,,0.000015,0.016631,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4216
1981.741985,0.001216,,,,,,,,,,0.003296,2.646917,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4220
1981.751137,0.000864,,,,,,,,,,0.000015,0.017247,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4224
1981.760001,0.001215,,,,,,,,,,0.003296,2.649095,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4228
1981.768768,0.000896,,,,,,,,,,0.000015,0.016631,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4232
1981.778048,0.001216,,,,,,,,,,0.003296,2.646917,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4236
1981.785792,0.000896,,,,,,,,,,0.000015,0.016631,"Device",,"Tesla V100-DGXS-32GB (0)","1","80","[CUDA memset]",4240
1982.880690,0.012352,,,,,,,,,,10.000000,790.610832,"Device",,"Tesla V100-DGXS-32GB (0)","1","83","[CUDA memset]",4253
2026.870861,0.013439,,,,,,,,,,10.000000,726.663070,"Device",,"Tesla V100-DGXS-32GB (0)","1","84","[CUDA memset]",4269
2070.849800,0.013663,,,,,,,,,,10.000000,714.749689,"Device",,"Tesla V100-DGXS-32GB (0)","1","85","[CUDA memset]",4285
2114.644325,0.013792,,,,,,,,,,10.000000,708.064458,"Device",,"Tesla V100-DGXS-32GB (0)","1","86","[CUDA memset]",4301
2158.591425,0.003648,,,,,,,,,,2.000000,535.396107,"Device",,"Tesla V100-DGXS-32GB (0)","1","87","[CUDA memset]",4315
2202.611131,0.003648,,,,,,,,,,2.000000,535.396107,"Device",,"Tesla V100-DGXS-32GB (0)","1","88","[CUDA memset]",4329
2246.491159,0.013280,,,,,,,,,,10.000000,735.363328,"Device",,"Tesla V100-DGXS-32GB (0)","1","89","[CUDA memset]",4344
2294.287712,0.013376,,,,,,,,,,10.000000,730.085601,"Device",,"Tesla V100-DGXS-32GB (0)","1","90","[CUDA memset]",4359
2338.259739,0.004224,,,,,,,,,,2.000000,462.387547,"Device",,"Tesla V100-DGXS-32GB (0)","1","91","[CUDA memset]",4374
2382.254454,0.003583,,,,,,,,,,2.000000,545.108847,"Device",,"Tesla V100-DGXS-32GB (0)","1","92","[CUDA memset]",4389
2438.851402,0.013152,,,,,,,,,,10.000000,742.520149,"Device",,"Tesla V100-DGXS-32GB (0)","1","93","[CUDA memset]",4403
2482.794213,0.013536,,,,,,,,,,10.000000,721.455748,"Device",,"Tesla V100-DGXS-32GB (0)","1","94","[CUDA memset]",4417
2530.615214,0.003776,,,,,,,,,,2.000000,517.247087,"Device",,"Tesla V100-DGXS-32GB (0)","1","95","[CUDA memset]",4433
2574.571433,0.003424,,,,,,,,,,2.000000,570.422021,"Device",,"Tesla V100-DGXS-32GB (0)","1","96","[CUDA memset]",4449
2622.598191,0.003519,,,,,,,,,,2.000000,555.022734,"Device",,"Tesla V100-DGXS-32GB (0)","1","97","[CUDA memset]",4465
2666.578569,0.003521,,,,,,,,,,2.000000,554.707469,"Device",,"Tesla V100-DGXS-32GB (0)","1","98","[CUDA memset]",4481
2718.187872,0.000928,,,,,,,,,,0.000092,0.096344,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4487
2718.695993,0.000928,,,,,,,,,,0.000092,0.096344,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4489
2718.912118,0.000928,,,,,,,,,,0.000092,0.096344,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4491
2719.201523,0.000927,,,,,,,,,,0.000092,0.096448,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4493
2719.377296,0.000896,,,,,,,,,,0.000092,0.099785,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4495
2719.548366,0.000928,,,,,,,,,,0.000092,0.096344,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4497
2719.860778,0.000928,,,,,,,,,,0.000092,0.096344,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4499
2720.042663,0.000896,,,,,,,,,,0.000092,0.099785,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4501
2720.204549,0.000928,,,,,,,,,,0.000092,0.096344,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4503
2720.361379,0.000896,,,,,,,,,,0.000092,0.099785,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4505
2720.531489,0.000896,,,,,,,,,,0.000092,0.099785,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4507
2720.721790,0.000928,,,,,,,,,,0.000092,0.096344,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4509
2720.871613,0.000927,,,,,,,,,,0.000092,0.096448,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4511
2721.045914,0.000896,,,,,,,,,,0.000092,0.099785,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4513
2721.215480,0.000896,,,,,,,,,,0.000092,0.099785,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4515
2721.363414,0.000896,,,,,,,,,,0.000092,0.099785,"Pageable","Device","Tesla V100-DGXS-32GB (0)","1","81","[CUDA memcpy HtoD]",4517
2721.846384,0.013247,,,,,,,,,,10.000000,737.195214,"Device",,"Tesla V100-DGXS-32GB (0)","1","99","[CUDA memset]",4531
2766.283556,0.013600,,,,,,,,,,10.000000,718.060662,"Device",,"Tesla V100-DGXS-32GB (0)","1","100","[CUDA memset]",4547
2810.277727,0.013408,,,,,,,,,,10.000000,728.343153,"Device",,"Tesla V100-DGXS-32GB (0)","1","101","[CUDA memset]",4563
2854.648341,0.013632,,,,,,,,,,10.000000,716.375073,"Device",,"Tesla V100-DGXS-32GB (0)","1","102","[CUDA memset]",4579
